Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Date,,,,,,,,,,,,,,,
2025-09-18,237.8800048828125,252.3300018310547,508.45001220703125,241.1999969482422,254.13999938964844,513.0700073242188,236.64999389648438,250.11000061035156,507.6600036621094,239.97000122070312,251.86000061035156,511.489990234375,44249600,21166400,18913700
2025-09-19,245.5,255.24000549316406,517.9299926757812,246.3000030517578,256.70001220703125,519.2999877929688,240.2100067138672,252.0679931640625,510.30999755859375,241.22999572753906,253.39999389648438,510.55999755859375,163741300,41616800,52474100
2025-09-22,256.0799865722656,252.8800048828125,514.4500122070312,256.6400146484375,256.30999755859375,517.739990234375,248.1199951171875,250.80999755859375,512.5399780273438,248.3000030517578,254.77999877929688,515.5900268554688,105517400,20079000,20009300
2025-09-23,254.42999267578125,252.33999633789062,509.2300109863281,257.3399963378906,254.77000427246094,514.5900268554688,253.5800018310547,251.08999633789062,507.30999755859375,255.8800048828125,253.65499877929688,513.7999877929688,60275200,17521100,19799600
2025-09-24,252.30999755859375,247.8300018310547,510.1499938964844,255.74000549316406,252.9600067138672,512.47998046875,251.0399932861328,247.22000122070312,506.9200134277344,255.22000122070312,252.14999389648438,510.3800048828125,42303700,16958500,13533700
2025-09-25,256.8699951171875,246.57000732421875,507.0299987792969,257.1700134277344,247.31500244140625,510.010009765625,251.7100067138672,241.64999389648438,505.0400085449219,253.2100067138672,244.83999633789062,508.29998779296875,55202100,17379800,15786500
2025-09-26,255.4600067138672,247.17999267578125,511.4599914550781,257.6000061035156,250.1199951171875,513.9400024414062,253.77999877929688,246.63999938964844,506.6199951171875,254.10000610351562,247.78500366210938,510.05999755859375,46076300,16594600,16213100
2025-09-29,254.42999267578125,244.36000061035156,514.5999755859375,255.0,251.6479949951172,516.8499755859375,253.00999450683594,243.1999969482422,508.8800048828125,254.55999755859375,248.27499389648438,511.5,40127700,23157200,17617800
2025-09-30,254.6300048828125,243.5500030517578,517.9500122070312,255.9199981689453,243.6750030517578,518.1599731445312,253.11000061035156,239.5709991455078,509.6600036621094,254.86000061035156,243.05999755859375,513.239990234375,37704300,22541200,19728200
2025-10-01,255.4499969482422,245.5399932861328,519.7100219726562,258.7900085449219,247.14999389648438,520.510009765625,254.92999267578125,239.1999969482422,511.69000244140625,255.0399932861328,241.17999267578125,514.7999877929688,48713900,23967700,22632300
2025-10-02,257.1300048828125,246.42999267578125,515.739990234375,258.17999267578125,247.63499450683594,521.5999755859375,254.14999389648438,243.10499572753906,510.67999267578125,256.5799865722656,245.63999938964844,517.6400146484375,42630200,20657500,21222900
2025-10-03,258.0199890136719,246.4499969482422,517.3499755859375,259.239990234375,247.1179962158203,520.489990234375,253.9499969482422,242.47000122070312,515.0,254.6699981689453,245.22999572753906,517.0999755859375,49155600,19941400,15112300
2025-10-06,256.69000244140625,251.50999450683594,528.5700073242188,259.07000732421875,252.1999969482422,531.030029296875,255.0500030517578,245.69000244140625,518.2000122070312,257.989990234375,245.77999877929688,518.6099853515625,44664100,18309000,21388600
2025-10-07,256.4800109863281,247.1300048828125,523.97998046875,257.3999938964844,251.5500030517578,529.7999877929688,255.42999267578125,246.80999755859375,521.4400024414062,256.80999755859375,248.92999267578125,528.2899780273438,31955800,13811200,14615200
2025-10-08,258.05999755859375,245.4600067138672,524.8499755859375,258.5199890136719,247.25999450683594,526.9500122070312,256.1099853515625,245.08999633789062,523.0900268554688,256.5199890136719,246.1999969482422,523.280029296875,36496900,14136500,13363400
2025-10-09,254.0399932861328,242.2100067138672,522.4000244140625,258.0,245.55499267578125,524.3300170898438,253.13999938964844,239.67999267578125,517.4000244140625,257.80999755859375,245.05999755859375,522.3400268554688,38322000,19375700,18343600
2025-10-10,245.27000427246094,237.49000549316406,510.9599914550781,256.3800048828125,244.83999633789062,523.5800170898438,244.0,236.68499755859375,509.6300048828125,254.94000244140625,242.16000366210938,519.6400146484375,61999100,22449100,24133800
2025-10-13,247.66000366210938,244.63999938964844,514.0499877929688,249.69000244140625,244.99000549316406,516.4099731445312,245.55999755859375,240.75,511.67999267578125,249.3800048828125,241.02999877929688,516.4099731445312,38142900,12465000,14284200
2025-10-14,247.77000427246094,246.19000244140625,513.5700073242188,248.85000610351562,248.02499389648438,515.280029296875,244.6999969482422,241.17799377441406,506.0,246.60000610351562,241.7550048828125,510.2300109863281,35478000,17705400,14684300
2025-10-15,249.33999633789062,251.7100067138672,513.4299926757812,251.82000732421875,252.75999450683594,517.1900024414062,247.47000122070312,246.7899932861328,510.0,249.49000549316406,248.0850067138672,514.9600219726562,33893600,16048100,14694700
2025-10-16,247.4499969482422,251.8800048828125,511.6099853515625,249.0399932861328,257.5799865722656,516.8499755859375,245.1300048828125,250.6699981689453,508.1300048828125,248.25,252.46499633789062,512.5800170898438,39777000,18946000,15559600
2025-10-17,252.2899932861328,253.7899932861328,513.5800170898438,253.3800048828125,254.8800048828125,515.47998046875,247.27000427246094,248.58999633789062,507.30999755859375,248.02000427246094,251.35000610351562,509.0400085449219,48876500,17586000,19798500
